CHROM	FRAG_START	FRAG_STOP	STRAND	DESCRIPTION	MODEL
Chr1	3760	5630	+	"ID=AT1G01010.1-Protein;Name=AT1G01010.1;Derives_from=AT1G01010.1"	AT1G01010.1
Chr1	6915	8666	-	"ID=AT1G01020.1-Protein;Name=AT1G01020.1;Derives_from=AT1G01020.1"	AT1G01020.1
Chr1	7315	8666	-	"ID=AT1G01020.2-Protein;Name=AT1G01020.2;Derives_from=AT1G01020.2"	AT1G01020.2
Chr1	11864	12940	-	"ID=AT1G01030.1-Protein;Name=AT1G01030.1;Derives_from=AT1G01030.1"	AT1G01030.1
Chr1	23519	31079	+	"ID=AT1G01040.1-Protein;Name=AT1G01040.1;Derives_from=AT1G01040.1"	AT1G01040.1
Chr1	23519	31079	+	"ID=AT1G01040.2-Protein;Name=AT1G01040.2;Derives_from=AT1G01040.2"	AT1G01040.2
Chr1	31382	32670	-	"ID=AT1G01050.1-Protein;Name=AT1G01050.1;Derives_from=AT1G01050.1"	AT1G01050.1
Chr1	33992	37061	-	"ID=AT1G01060.1-Protein;Name=AT1G01060.1;Derives_from=AT1G01060.1"	AT1G01060.1
Chr1	33992	37061	-	"ID=AT1G01060.2-Protein;Name=AT1G01060.2;Derives_from=AT1G01060.2"	AT1G01060.2
Chr1	33992	37061	-	"ID=AT1G01060.3-Protein;Name=AT1G01060.3;Derives_from=AT1G01060.3"	AT1G01060.3
Chr1	33992	37061	-	"ID=AT1G01060.4-Protein;Name=AT1G01060.4;Derives_from=AT1G01060.4"	AT1G01060.4
Chr1	33992	36836	-	"ID=AT1G01060.5-Protein;Name=AT1G01060.5;Derives_from=AT1G01060.5"	AT1G01060.5
Chr1	38898	40877	-	"ID=AT1G01070.1-Protein;Name=AT1G01070.1;Derives_from=AT1G01070.1"	AT1G01070.1
Chr1	38898	40597	-	"ID=AT1G01070.2-Protein;Name=AT1G01070.2;Derives_from=AT1G01070.2"	AT1G01070.2
Chr1	44677	44787	+	"ID=AT1G01073.1-Protein;Name=AT1G01073.1;Derives_from=AT1G01073.1"	AT1G01073.1
Chr1	45503	46789	-	"ID=AT1G01080.1-Protein;Name=AT1G01080.1;Derives_from=AT1G01080.1"	AT1G01080.1
Chr1	45503	46789	-	"ID=AT1G01080.2-Protein;Name=AT1G01080.2;Derives_from=AT1G01080.2"	AT1G01080.2
Chr1	47705	49166	-	"ID=AT1G01090.1-Protein;Name=AT1G01090.1;Derives_from=AT1G01090.1"	AT1G01090.1
Chr1	50284	50954	-	"ID=AT1G01100.1-Protein;Name=AT1G01100.1;Derives_from=AT1G01100.1"	AT1G01100.1
Chr1	50284	50954	-	"ID=AT1G01100.2-Protein;Name=AT1G01100.2;Derives_from=AT1G01100.2"	AT1G01100.2
Chr1	50284	50954	-	"ID=AT1G01100.3-Protein;Name=AT1G01100.3;Derives_from=AT1G01100.3"	AT1G01100.3
Chr1	50284	50954	-	"ID=AT1G01100.4-Protein;Name=AT1G01100.4;Derives_from=AT1G01100.4"	AT1G01100.4
Chr1	53022	54494	+	"ID=AT1G01110.1-Protein;Name=AT1G01110.1;Derives_from=AT1G01110.1"	AT1G01110.1
Chr1	52239	54494	+	"ID=AT1G01110.2-Protein;Name=AT1G01110.2;Derives_from=AT1G01110.2"	AT1G01110.2
Chr1	56624	56740	+	"ID=AT1G01115.1-Protein;Name=AT1G01115.1;Derives_from=AT1G01115.1"	AT1G01115.1
Chr1	57392	58978	-	"ID=AT1G01120.1-Protein;Name=AT1G01120.1;Derives_from=AT1G01120.1"	AT1G01120.1
Chr1	61905	63811	-	"ID=AT1G01130.1-Protein;Name=AT1G01130.1;Derives_from=AT1G01130.1"	AT1G01130.1
Chr1	64398	67512	-	"ID=AT1G01140.1-Protein;Name=AT1G01140.1;Derives_from=AT1G01140.1"	AT1G01140.1
Chr1	64398	67512	-	"ID=AT1G01140.2-Protein;Name=AT1G01140.2;Derives_from=AT1G01140.2"	AT1G01140.2
Chr1	64398	67512	-	"ID=AT1G01140.3-Protein;Name=AT1G01140.3;Derives_from=AT1G01140.3"	AT1G01140.3
Chr1	70115	71998	-	"ID=AT1G01150.1-Protein;Name=AT1G01150.1;Derives_from=AT1G01150.1"	AT1G01150.1
